renda,consumo,valor,maquina
3880.2,11.33333333,3.176470588,1
1851.61,6.666666667,13.35,1
649.1,3.333333333,13.35,0
4671.13,3.333333333,5.412,1
2575,66.66666667,.345,0
1128.75,80,.5,0
1493.5,86.66666667,.8192307692,1
1116.65,100,.67,1
4509.25,2.333333333,6.3,1
2200.93,298,.0669463087,1
665.4,78,.2371794872,0
256.7,151,.1233112583,0
1512.16,298,.0669463087,0
1239.9,33.33333333,1.4172,0
859.48,111.3333333,.1703892216,0
1334.45,38,.4092105263,1
1652.84,6,13.8,0
5622.96,4.333333333,11.85461538,0
1426.92,2.666666667,12.375,0
1761.4,9.666666667,18.72413793,1
1205.84,123.3333333,.546972973,1
4677,166.6666667,.534,0
2732,133.3333333,.9075,1
2954.64,6.666666667,20.1,0
1450,3.333333333,9.9,1
9763.39,10,20,1
845.2,6.666666667,9.2805,0
1560.24,8,6.2575,1
1299.08,3.333333333,8.7,1
2202,3.333333333,8.7,1
1409.33,3.333333333,6.951,0
2504.58,4,7.6675,0
1145.5,41,.9756097561,0
454.5,300,.0673,1
895,6,4.6,1
328.5,4.666666667,20.35714286,1
1265,42.33333333,3.708661417,1
630.29,12,2.333333333,1
724.8,100,.66,0
2774.4,66.66666667,.84,0
2196,44.33333333,1.522556391,1
1457,100,.7089,1
1573.72,4,7.0075,1
1709.89,2,10.08,0
855.43,1,28,0
1816.25,4,7.0075,0
1358.33,66.66666667,.999,1
1668.44,100,.444,0
4501.13,3.333333333,6.72,1
8936.21,14,5.12,1
844.01,3.333333333,7.392,0
4075.17,15.66666667,7.14893617,1
5549.2,5,8.198,1
1488.53,5,11.648,0
1951.05,4.333333333,7.606153846,1
3180.14,4,7.0075,1
840,3.333333333,6.87,1
1047,83.33333333,.44472,0
8956.08,166.6666667,.648,1
1368.81,100,.648,1
1274.64,12,6.734166667,1
2194.4,9,8.111111111,1
220.14,13.66666667,7.368292683,1
473.2,3.333333333,3,0
3620.02,6.666666667,7.965,1
3478.31,6.666666667,8.1,1
1486.25,7,7.428571429,1
1834.48,5.666666667,9.441176471,1
704.08,2,7.5,0
416,74,.3648648649,0
2877,100,.38,1
2510.14,5,7.104,1
7775.58,9,7.777777778,1
1522.4,3.666666667,12.81818182,1
3948.85,8.333333333,4.3668,1
1188.25,1.666666667,7.2,1
515,32.66666667,.7653061224,0
819.66,3.333333333,7.5,0
2204,3.333333333,6.3,1
3103.04,44.66666667,1.231343284,1
1455.22,4,7.1625,1
1845.73,3.333333333,8.292,0
700,6.666666667,4.47,1
2505.67,20,2.965,1
2406.25,4,3.0025,0
6086.65,46,.372826087,0
640.03,1,11.14,0
626.46,1,11.14,0
3348.74,1,11.2,0
1704.16,1,11.2,1
2885.46,.3333333333,9.75,1
1235.63,.3333333333,33,1
633.92,12,.91,1
3811.66,.3333333333,31.2,1
885.54,4,2.7075,0
635.24,4,2.5675,0
698.01,4.666666667,2.822142857,1
267.17,6,1.886666667,0
813.55,4,2.68,0
775.25,4,2.69,1
630.17,4,2.68,1
4901,4,3.685,1
854.25,4,2.7325,0
1439.36,4,2.68,1
490.69,4,2.68,1
744,4,5.2925,1
550.56,4,3.6175,1
495.71,4,4.58,1
465.29,5,4,1
1093.59,4,5.285,0
863.73,4,3.565,0
1089.9,4,2.68,0
278.07,4,4.2825,1
188.87,4,2.68,0
2084.13,4,3.75,1
442.08,5,3.144,0
549.58,5,4.348,0
626.52,4,2.7325,0
1474.28,.6666666667,9.24,1
2581.33,4,3.0475,1
2171.47,2,5.3,0
1054.34,12,1.015833333,0
1145.82,4,3.575,0
1672.94,2.666666667,3.66,0
901.74,2.333333333,4.127142857,0
1472.84,20,1.146,0
789.53,8,1.20375,1
842.01,7,3.628571429,1
1325.83,3.333333333,3.189,1
1147.37,100,.1494,1
1397.33,100,.075,1
534.08,333.3333333,.057,0
4739.9,6,3.645,1
1473,333.3333333,.0225,0
4772.82,5,2.984,1
1271.79,4,5.485,0
1601.93,4.333333333,2.769230769,1
1145.93,5,3.016,0
658.85,166.6666667,.087,1
1940.63,4.333333333,2.7,1
580.1,33.33333333,.225,0
550.28,.3333333333,30,1
4202,26,.9230769231,1
1030,5,1,0
1323.74,6.666666667,6.75,0
724.48,4,4.75,0
640,2000,.0028,0
559.09,.3333333333,11.76,0
608.28,.3333333333,11.76,0
3862.09,.3333333333,11.76,1
768.03,.3333333333,11.76,0
1220,66.66666667,.225,1
4252.76,7,4.571428571,1
947.22,1.333333333,9,1
1499.73,6.666666667,1.8,1
2789.13,6.666666667,1.8,1
1109.33,10,1.2,1
570,6,1.833333333,0
4074.83,8.333333333,3.4068,1
1278.42,5,3.484,0
1414.89,14.33333333,3.906976744,0
720,3,7.466666667,0
1746.67,6,7.466666667,0
2221,4.333333333,5.815384615,0
2159.5,2.333333333,7.8,1
569.83,.3333333333,10.62,0
1354.07,4,2.5,0
452.7,4,2.5975,0
3082.25,4,2.7375,1
3283.05,100,.2019,0
583.32,4,2.7325,0
719.96,.3333333333,47.31,0
1564.63,.3333333333,47.31,0
3039.54,3.333333333,4.68,1
1200.57,66.66666667,.23625,0
4290.36,100,.153,1
680.38,4,2.68,0
562.33,12,.91,0
2968.34,4,2.7325,0
291.5,12,.9108333333,0
1419.16,4,2.68,0
1357.51,4.333333333,2.769230769,0
857.72,4,2.68,0
903.85,4,2.68,1
2640.9,4,2.7325,1
2863.9,4,2.7325,0
2005.74,4,2.7325,1
1312.5,3.333333333,6.9,1
1313.13,5,3.6,1
1236.3,3.333333333,4.2,0
2307,.3333333333,48,1
870.29,3.666666667,5.874545455,0
478.19,.3333333333,18.6,0
